year,sequence,shortname,circuit_name,rider_name,team_name,bike_name,Status_Zavrsetka
1949,1,TT,Isle of Man,"Daniell, Harold",?,Norton,0
1949,1,TT,Isle of Man,"Lockett, John",?,Norton,0
1949,1,TT,Isle of Man,"Lyons, Ernie",?,Velocette,0
1949,1,TT,Isle of Man,"Bell, Artie",?,Norton,0
1949,1,TT,Isle of Man,"Jensen, Sid",?,Triumph,0
1949,1,TT,Isle of Man,"Stevens, Fred",?,Triumph,0
1949,2,SWI,Berne,"Graham, Leslie",?,AJS,0
1949,2,SWI,Berne,"Artesiani, Arciso",?,Gilera,0
1949,2,SWI,Berne,"Daniell, Harold",?,Norton,0
1949,2,SWI,Berne,"Pagani, Nello",?,Gilera,0
1949,2,SWI,Berne,"Frith, Freddie",?,Velocette,0
1949,2,SWI,Berne,"Leoni, Guido",?,Moto Guzzi,0
1949,3,NED,Assen,"Pagani, Nello",?,Gilera,0
1949,3,NED,Assen,"Graham, Leslie",?,AJS,0
1949,3,NED,Assen,"Artesiani, Arciso",?,Gilera,0
1949,3,NED,Assen,"Bell, Artie",?,Norton,0
1949,3,NED,Assen,"Lockett, John",?,Norton,0
1949,3,NED,Assen,"Daniell, Harold",?,Norton,0
1949,4,BEL,Spa-Francorchamps,"Doran, William",?,AJS,0
1949,4,BEL,Spa-Francorchamps,"Artesiani, Arciso",?,Gilera,0
1949,4,BEL,Spa-Francorchamps,"Lorenzetti, Enrico",?,Moto Guzzi,0
1949,4,BEL,Spa-Francorchamps,"Bell, Artie",?,Norton,0
1949,4,BEL,Spa-Francorchamps,"Pagani, Nello",?,Gilera,0
1949,4,BEL,Spa-Francorchamps,"Leoni, Guido",?,Moto Guzzi,0
1949,5,ULST,Belfast,"Graham, Leslie",?,AJS,0
1949,5,ULST,Belfast,"Bell, Artie",?,Norton,0
1949,5,ULST,Belfast,"Pagani, Nello",?,Gilera,0
1949,5,ULST,Belfast,"Doran, William",?,AJS,0
1949,5,ULST,Belfast,"West, Jock",?,AJS,0
1949,5,ULST,Belfast,"McCandless, Cromie",?,Norton,0
1949,6,NAT,Monza,"Pagani, Nello",?,Gilera,0
1949,6,NAT,Monza,"Artesiani, Arciso",?,Gilera,0
1949,6,NAT,Monza,"Doran, William",?,AJS,0
1949,6,NAT,Monza,"Leoni, Gianni",?,Moto Guzzi,0
