result_id,pos.,no,rider,Team,gap 1st / prev.,time,session,class,event,year,event_id
0,1,75,A. Arenas,Inde GASGAS Aspar Team,,01:59.371,Q1,Moto2,QAT,2022,0
1,2,54,F. Aldeguer ,MB Conveyors Speed Up,+0.319 / +0.319,01:59.690,Q1,Moto2,QAT,2022,0
2,3,64,B. Bendsneyder,Pertamina Mandalika SAG Team,+0.378 / +0.059,01:59.749,Q1,Moto2,QAT,2022,0
3,4,7,B. Baltus,RW Racing GP,+0.508 / +0.130,01:59.879,Q1,Moto2,QAT,2022,0
4,5,24,S. Corsi,MV Agusta Forward Racing,+0.692 / +0.184,02:00.063,Q1,Moto2,QAT,2022,0
5,6,19,L. Dalla Porta,Italtrans Racing Team,+0.780 / +0.088,02:00.151,Q1,Moto2,QAT,2022,0
6,7,42,M. Ramirez,MV Agusta Forward Racing,+0.780 / +0.000,02:00.151,Q1,Moto2,QAT,2022,0
7,8,52,J. Alcoba,Liqui Moly Intact GP,+0.899 / +0.119,02:00.270,Q1,Moto2,QAT,2022,0
8,9,2,G. Rodrigo,Pertamina Mandalika SAG Team,+1.171 / +0.272,02:00.542,Q1,Moto2,QAT,2022,0
9,10,18,M. Gonzalez,Yamaha VR46 Master Camp Team,+1.180 / +0.009,02:00.551,Q1,Moto2,QAT,2022,0
10,11,61,A. Zaccone,Gresini Racing Moto2,+1.586 / +0.406,02:00.957,Q1,Moto2,QAT,2022,0
11,12,81,K. Kubo,Yamaha VR46 Master Camp Team,+1.662 / +0.076,02:01.033,Q1,Moto2,QAT,2022,0
12,13,5,R. Fenati,MB Conveyors Speed Up,+1.766 / +0.104,02:01.137,Q1,Moto2,QAT,2022,0
13,14,4,S. Kelly,American Racing,+1.830 / +0.064,02:01.201,Q1,Moto2,QAT,2022,0
14,15,84,Z. Van Den Goorbergh,RW Racing GP,+1.956 / +0.126,02:01.327,Q1,Moto2,QAT,2022,0
15,16,28,N. Antonelli,Mooney VR46 Racing Team,+2.503 / +0.547,02:01.874,Q1,Moto2,QAT,2022,0
16,1,13,C. Vietti,Mooney VR46 Racing Team,,01:59.082,Q2,Moto2,QAT,2022,0
17,2,14,T. Arbolino,Elf Marc VDS Racing Team,+0.112 / +0.112,01:59.194,Q2,Moto2,QAT,2022,0
18,3,22,S. Lowes,Elf Marc VDS Racing Team,+0.144 / +0.032,01:59.226,Q2,Moto2,QAT,2022,0
19,4,12,F. Salac,Gresini Racing Moto2,+0.205 / +0.061,01:59.287,Q2,Moto2,QAT,2022,0
20,5,79,A. Ogura,IDEMITSU Honda Team Asia,+0.220 / +0.015,01:59.302,Q2,Moto2,QAT,2022,0
21,6,37,A. Fernandez,Red Bull KTM Ajo,+0.257 / +0.037,01:59.339,Q2,Moto2,QAT,2022,0
22,7,96,J. Dixon,Inde GASGAS Aspar Team,+0.275 / +0.018,01:59.357,Q2,Moto2,QAT,2022,0
23,8,54,F. Aldeguer ,MB Conveyors Speed Up,+0.277 / +0.002,01:59.359,Q2,Moto2,QAT,2022,0
24,9,40,A. Canet,Flexbox HP40,+0.398 / +0.121,01:59.480,Q2,Moto2,QAT,2022,0
25,10,51,P. Acosta,Red Bull KTM Ajo,+0.446 / +0.048,01:59.528,Q2,Moto2,QAT,2022,0
26,11,6,C. Beaubier,American Racing,+0.469 / +0.023,01:59.551,Q2,Moto2,QAT,2022,0
27,12,9,J. Navarro,Flexbox HP40,+0.544 / +0.075,01:59.626,Q2,Moto2,QAT,2022,0
28,13,23,M. Schrotter,Liqui Moly Intact GP,+0.588 / +0.044,01:59.670,Q2,Moto2,QAT,2022,0
29,14,16,J. Roberts,Italtrans Racing Team,+0.589 / +0.001,01:59.671,Q2,Moto2,QAT,2022,0
30,15,75,A. Arenas,Inde GASGAS Aspar Team,+0.697 / +0.108,01:59.779,Q2,Moto2,QAT,2022,0
31,16,7,B. Baltus,RW Racing GP,+0.751 / +0.054,01:59.833,Q2,Moto2,QAT,2022,0
32,17,64,B. Bendsneyder,Pertamina Mandalika SAG Team,+0.889 / +0.138,01:59.971,Q2,Moto2,QAT,2022,0
33,18,35,S. Chantra,IDEMITSU Honda Team Asia,+1.131 / +0.242,02:00.213,Q2,Moto2,QAT,2022,0
34,1,71,A. Sasaki,Sterilgarda Husqvarna Max,,02:05.481,Q1,Moto3,QAT,2022,0
35,2,48,I. Ortola,Angeluss MTA Team,+0.699 / +0.699,02:06.180,Q1,Moto3,QAT,2022,0
36,3,96,D. Holgado,Red Bull KTM Ajo,+0.749 / +0.050,02:06.230,Q1,Moto3,QAT,2022,0
37,4,18,M. Bertelle,QJMotor Avintia Racing Team,+0.894 / +0.145,02:06.375,Q1,Moto3,QAT,2022,0
38,5,82,S. Nepa,Angeluss MTA Team,+0.910 / +0.016,02:06.391,Q1,Moto3,QAT,2022,0
39,6,19,S. Ogden,VisionTrack Racing Team,+0.913 / +0.003,02:06.394,Q1,Moto3,QAT,2022,0
40,7,10,D. Moreira,MT Helmets - MSI,+1.224 / +0.311,02:06.705,Q1,Moto3,QAT,2022,0
41,8,67,A. Surra,Rivacold Snipers Team,+1.426 / +0.202,02:06.907,Q1,Moto3,QAT,2022,0
42,9,31,A. Fernandez,Red Bull KTM Tech3,+1.516 / +0.090,02:06.997,Q1,Moto3,QAT,2022,0
43,10,20,L. Fellon,SIC58 Squadra Corse,+1.594 / +0.078,02:07.075,Q1,Moto3,QAT,2022,0
44,11,64,M. Suryo Aji,Honda Team Asia,+2.408 / +0.814,02:07.889,Q1,Moto3,QAT,2022,0
45,12,22,A. Carrasco,BOE SKX,+2.532 / +0.124,02:08.013,Q1,Moto3,QAT,2022,0
46,13,23,E. Bartolini,QJMotor Avintia Racing Team,+2.789 / +0.257,02:08.270,Q1,Moto3,QAT,2022,0
47,14,87,G. Riu Male,BOE SKX,+3.298 / +0.509,02:08.779,Q1,Moto3,QAT,2022,0
48,15,70,J. Whatley,VisionTrack Racing Team,+4.198 / +0.900,02:09.679,Q1,Moto3,QAT,2022,0
49,1,28,I. Guevara,Gaviota GASGAS Aspar Team,,02:04.811,Q2,Moto3,QAT,2022,0
50,2,71,A. Sasaki,Sterilgarda Husqvarna Max,+0.085 / +0.085,02:04.896,Q2,Moto3,QAT,2022,0
51,3,5,J. Masia,Red Bull KTM Ajo,+0.212 / +0.127,02:05.023,Q2,Moto3,QAT,2022,0
52,4,16,A. Migno,Rivacold Snipers Team,+0.363 / +0.151,02:05.174,Q2,Moto3,QAT,2022,0
53,5,7,D. Foggia,Leopard Racing,+0.378 / +0.015,02:05.189,Q2,Moto3,QAT,2022,0
54,6,6,R. Yamanaka,MT Helmets - MSI,+0.725 / +0.347,02:05.536,Q2,Moto3,QAT,2022,0
55,7,17,J. McPhee,Sterilgarda Husqvarna Max,+0.738 / +0.013,02:05.549,Q2,Moto3,QAT,2022,0
56,8,11,S. Garcia,Gaviota GASGAS Aspar Team,+0.847 / +0.109,02:05.658,Q2,Moto3,QAT,2022,0
