result_id,pos.,pts,no,rider,Team,time / gap,session,class,event,year,event_id
0,1,25.0,13,C. Vietti,Mooney VR46 Racing Team,39:53.637,Race,Moto2,QAT,2022,0
1,2,20.0,40,A. Canet,Flexbox HP40,+6.154,Race,Moto2,QAT,2022,0
2,3,16.0,22,S. Lowes,Elf Marc VDS Racing Team,+10.181,Race,Moto2,QAT,2022,0
3,4,13.0,37,A. Fernandez,Red Bull KTM Ajo,+10.259,Race,Moto2,QAT,2022,0
4,5,11.0,14,T. Arbolino,Elf Marc VDS Racing Team,+11.421,Race,Moto2,QAT,2022,0
5,6,10.0,79,A. Ogura,IDEMITSU Honda Team Asia,+12.331,Race,Moto2,QAT,2022,0
6,7,9.0,9,J. Navarro,Flexbox HP40,+14.866,Race,Moto2,QAT,2022,0
7,8,8.0,16,J. Roberts,Italtrans Racing Team,+15.371,Race,Moto2,QAT,2022,0
8,9,7.0,6,C. Beaubier,American Racing,+17.368,Race,Moto2,QAT,2022,0
9,10,6.0,23,M. Schrotter,Liqui Moly Intact GP,+18.908,Race,Moto2,QAT,2022,0
10,11,5.0,96,J. Dixon,Inde GASGAS Aspar Team,+18.958,Race,Moto2,QAT,2022,0
11,12,4.0,51,P. Acosta,Red Bull KTM Ajo,+26.051,Race,Moto2,QAT,2022,0
12,13,3.0,75,A. Arenas,Inde GASGAS Aspar Team,+26.139,Race,Moto2,QAT,2022,0
13,14,2.0,52,J. Alcoba,Liqui Moly Intact GP,+31.755,Race,Moto2,QAT,2022,0
14,15,1.0,5,R. Fenati,MB Conveyors Speed Up,+33.639,Race,Moto2,QAT,2022,0
15,16,0.0,54,F. Aldeguer ,MB Conveyors Speed Up,+34.155,Race,Moto2,QAT,2022,0
16,17,0.0,42,M. Ramirez,MV Agusta Forward Racing,+36.282,Race,Moto2,QAT,2022,0
17,18,0.0,24,S. Corsi,MV Agusta Forward Racing,+37.699,Race,Moto2,QAT,2022,0
18,19,0.0,64,B. Bendsneyder,Pertamina Mandalika SAG Team,+40.594,Race,Moto2,QAT,2022,0
19,20,0.0,18,M. Gonzalez,Yamaha VR46 Master Camp Team,+43.946,Race,Moto2,QAT,2022,0
20,21,0.0,2,G. Rodrigo,Pertamina Mandalika SAG Team,+44.347,Race,Moto2,QAT,2022,0
21,22,0.0,61,A. Zaccone,Gresini Racing Moto2,+49.180,Race,Moto2,QAT,2022,0
22,23,0.0,81,K. Kubo,Yamaha VR46 Master Camp Team,+50.203,Race,Moto2,QAT,2022,0
23,24,0.0,84,Z. Van Den Goorbergh,RW Racing GP,+56.194,Race,Moto2,QAT,2022,0
24,25,0.0,4,S. Kelly,American Racing,+56.336,Race,Moto2,QAT,2022,0
25,26,0.0,28,N. Antonelli,Mooney VR46 Racing Team,+56.357,Race,Moto2,QAT,2022,0
26,DNF,0.0,7,B. Baltus,RW Racing GP,19 laps,Race,Moto2,QAT,2022,0
27,DNF,0.0,19,L. Dalla Porta,Italtrans Racing Team,15 laps,Race,Moto2,QAT,2022,0
28,DNF,0.0,12,F. Salac,Gresini Racing Moto2,2 laps,Race,Moto2,QAT,2022,0
29,1,25.0,16,A. Migno,Rivacold Snipers Team,37:59.522,Race,Moto3,QAT,2022,0
30,2,20.0,11,S. Garcia,GASGAS Aspar Team,+0.037,Race,Moto3,QAT,2022,0
31,3,16.0,27,K. Toba,CIP Green Power,+0.573,Race,Moto3,QAT,2022,0
32,4,13.0,53,D. Öncü,Red Bull KTM Tech3,+0.594,Race,Moto3,QAT,2022,0
33,5,11.0,17,J. McPhee,Sterilgarda Husqvarna Max,+1.064,Race,Moto3,QAT,2022,0
34,6,10.0,10,D. Moreira,MT Helmets - MSI,+1.481,Race,Moto3,QAT,2022,0
35,7,9.0,7,D. Foggia,Leopard Racing,+1.951,Race,Moto3,QAT,2022,0
