Model,FN/FP Ratio,FN,FP,Cost (ratio=1:1),F1,Recall,Precision,Cost (ratio=2:1),Cost (ratio=3:1),Cost (ratio=5:1),Cost (ratio=10:1)
Logistic Regression,1:1,94,605,699.0,0.3003003003003003,0.6147540983606558,0.1986754966887417,,,,
Random Forest,1:1,116,503,619.0,0.2925714285714286,0.5245901639344263,0.20285261489698891,,,,
XGBoost,1:1,59,844,903.0,0.2906520031421838,0.7581967213114754,0.17978620019436345,,,,
SVM,1:1,220,266,486.0,0.0898876404494382,0.09836065573770492,0.08275862068965517,,,,
KNN,1:1,210,114,324.0,0.17346938775510204,0.13934426229508196,0.22972972972972974,,,,
MLP Classifier,1:1,136,468,604.0,0.2634146341463415,0.4426229508196721,0.1875,,,,
Logistic Regression,2:1,94,605,,0.3003003003003003,0.6147540983606558,0.1986754966887417,793.0,,,
Random Forest,2:1,116,503,,0.2925714285714286,0.5245901639344263,0.20285261489698891,735.0,,,
XGBoost,2:1,59,844,,0.2906520031421838,0.7581967213114754,0.17978620019436345,962.0,,,
SVM,2:1,220,266,,0.0898876404494382,0.09836065573770492,0.08275862068965517,706.0,,,
KNN,2:1,210,114,,0.17346938775510204,0.13934426229508196,0.22972972972972974,534.0,,,
MLP Classifier,2:1,136,468,,0.2634146341463415,0.4426229508196721,0.1875,740.0,,,
Logistic Regression,3:1,94,605,,0.3003003003003003,0.6147540983606558,0.1986754966887417,,887.0,,
Random Forest,3:1,116,503,,0.2925714285714286,0.5245901639344263,0.20285261489698891,,851.0,,
XGBoost,3:1,59,844,,0.2906520031421838,0.7581967213114754,0.17978620019436345,,1021.0,,
SVM,3:1,220,266,,0.0898876404494382,0.09836065573770492,0.08275862068965517,,926.0,,
KNN,3:1,210,114,,0.17346938775510204,0.13934426229508196,0.22972972972972974,,744.0,,
MLP Classifier,3:1,136,468,,0.2634146341463415,0.4426229508196721,0.1875,,876.0,,
Logistic Regression,5:1,94,605,,0.3003003003003003,0.6147540983606558,0.1986754966887417,,,1075.0,
Random Forest,5:1,116,503,,0.2925714285714286,0.5245901639344263,0.20285261489698891,,,1083.0,
XGBoost,5:1,59,844,,0.2906520031421838,0.7581967213114754,0.17978620019436345,,,1139.0,
SVM,5:1,220,266,,0.0898876404494382,0.09836065573770492,0.08275862068965517,,,1366.0,
KNN,5:1,210,114,,0.17346938775510204,0.13934426229508196,0.22972972972972974,,,1164.0,
MLP Classifier,5:1,136,468,,0.2634146341463415,0.4426229508196721,0.1875,,,1148.0,
Logistic Regression,10:1,94,605,,0.3003003003003003,0.6147540983606558,0.1986754966887417,,,,1545.0
Random Forest,10:1,116,503,,0.2925714285714286,0.5245901639344263,0.20285261489698891,,,,1663.0
XGBoost,10:1,59,844,,0.2906520031421838,0.7581967213114754,0.17978620019436345,,,,1434.0
SVM,10:1,220,266,,0.0898876404494382,0.09836065573770492,0.08275862068965517,,,,2466.0
KNN,10:1,210,114,,0.17346938775510204,0.13934426229508196,0.22972972972972974,,,,2214.0
MLP Classifier,10:1,136,468,,0.2634146341463415,0.4426229508196721,0.1875,,,,1828.0
