K,TN,FP,FN,TP,Recall,Precision,F1
1,323,1675,1,243,0.9959016393442623,0.1266944734098019,0.2247918593894542
2,373,1625,6,238,0.9754098360655737,0.12775093934514226,0.22591362126245848
3,415,1583,8,236,0.9672131147540983,0.1297416162726773,0.22879301987396994
4,450,1548,13,231,0.9467213114754098,0.12984822934232715,0.22837370242214533
5,502,1496,21,223,0.9139344262295082,0.12972658522396743,0.2272032603158431
6,1121,877,57,187,0.7663934426229508,0.17575187969924813,0.28593272171253825
7,1152,846,65,179,0.7336065573770492,0.1746341463414634,0.28211189913317575
8,1184,814,70,174,0.7131147540983607,0.17611336032388664,0.2824675324675325
9,1226,772,74,170,0.6967213114754098,0.18046709129511676,0.2866779089376054
10,1325,673,81,163,0.6680327868852459,0.19497607655502391,0.30185185185185187
